,lon,lat,type,step,next_turn,dir,gpx_dist_to_next_waypoint_m,gpx_elapsed_dist_m,geopy_elapsed_dist_m,geopy_dist_from_last_m
74,-80.55184,43.46906,,,,,,,2823.646734629452,30.37199197756408
75,-80.55146,43.46912,,,,,,,2855.0298501131583,31.383115483706042
76,-80.55113,43.46914,,,,,,,2881.7533126093317,26.723462496173315
77,-80.5509,43.46915,,,,,,,2900.3474228587575,18.594110249425675
78,-80.55067,43.46914,,,,,,,2918.941533108208,18.594110249450697
79,-80.55047,43.46912,,,,,,,2935.233886066828,16.292352958619563
80,-80.55024,43.46909,,,,,,,2954.0921168752743,18.858230808446425
81,-80.55002,43.46905,,,,,,,2972.394645723721,18.302528848446713
82,-80.54992,43.46902,,,,,,,2981.1268775846356,8.732231860914522
83,-80.54975,43.46897,,,,,,,2995.929558552943,14.802680968307259
84,-80.54959,43.46892,,,,,,,3009.9876062132657,14.058047660322691
85,-80.54946,43.46886,,,,,,,3022.4202917865796,12.432685573313965
86,-80.54923,43.46872,,,,,,,3046.6452735677494,24.22498178116988
87,-80.54909,43.46866,,,,,,,3059.766099348887,13.120825781137528
88,-80.54881,43.46851,,,,,,,3087.8512779754024,28.085178626515415
89,-80.54858,43.46834,,,,,,,3114.343584914226,26.492306938823504
90,-80.54797,43.46774,,,,,,,3197.2562327698147,82.91264785558845
91,-80.54792,43.4677,,,,,,,3203.261618134266,6.005385364451377
92,-80.54754,43.4673,,,,,,,3257.2869198772805,54.02530174301446
93,-80.54728,43.46703,,,,,,,3293.9151342650243,36.628214387743824
94,-80.54725,43.467,,,,,,,3298.0369615605605,4.12182729553596
95,-80.5471,43.46686,,,,,,,3317.7570100718567,19.720048511296113
96,-80.54695,43.46672,,,,,,,3337.4770757935066,19.720065721649945
97,-80.54694,43.46672,,,,,,,3338.284100885447,0.8070250919402361
98,-80.5468,43.46658,,,,,,,3357.5193350050854,19.235234119638363
99,-80.54678,43.46656,,,,,,,3360.267226848473,2.7478918433877535
100,-80.5466,43.46643,,,,,,,3380.7605630056237,20.493336157150825
101,-80.54635,43.46625,,,,,,,3409.180026157979,28.41946315235491
102,-80.54624,43.46619,,,,,,,3420.2849341282954,11.104907970316829
103,-80.54604,43.46607,,,,,,,3441.2269368196917,20.942002691396283
104,-80.54587,43.46599,,,,,,,3457.5780462866132,16.351109466921717
105,-80.54567,43.46589,,,,,,,3477.1781990724467,19.600152785833533
106,-80.54542,43.46578,,,,,,,3500.7721909017746,23.593991829328154
107,-80.54484,43.46551,,,,,,,3556.3813328834426,55.609141981668074
108,-80.54375,43.465,,,,,,,3661.044182886329,104.66285000288642
109,-80.54367,43.46496,,,,,,,3668.8843284366103,7.840145550281192
110,-80.54303,43.46468,,,,,,,3729.1936499922417,60.309321555631534
111,-80.54282,43.46459,,,,,,,3748.875867618599,19.682217626357293
112,-80.54193,43.46431,,,,,,,3827.161347505395,78.28547988679594
113,-80.54156,43.46421,,,,,,,3859.025612151667,31.86426464627159
114,-80.5415593,43.4642077,waypoint,turn-left,turn-left,Turn left onto University Ave W,942.0,3858.0,3859.2875262159805,0.26191406431389364
115,-80.54145,43.46415,,,,,,,3870.195196557855,10.907670341874628
116,-80.54139,43.46426,,,,,,,3883.3503083931805,13.155111835325455
117,-80.54124,43.46442,,,,,,,3904.8695776824525,21.519269289272053
118,-80.54065,43.46556,,,,,,,4040.27996655707,135.41038887461787
119,-80.54002,43.46679,,,,,,,4186.194443807475,145.91447725040484
120,-80.53998,43.46686,,,,,,,4194.62094333784,8.426499530365062
121,-80.53943,43.46791,,,,,,,4319.528107106862,124.90716376902242
122,-80.53904,43.46866,,,,,,,4408.665669451085,89.13756234422262
123,-80.53899,43.46876,,,,,,,4420.4946437033705,11.82897425228524
124,-80.53856,43.46961,,,,,,,4521.17918332208,100.68453961870951
125,-80.53819,43.47031,,,,,,,4604.546140791025,83.36695746894563
126,-80.53813,43.47043,,,,,,,4618.740864532841,14.194723741816377
127,-80.53797,43.47073,,,,,,,4654.510963998629,35.770099465787595
128,-80.53786,43.4709,,,,,,,4675.394569289684,20.883605291054693
129,-80.53781,43.47098,,,,,,,4685.162464793208,9.767895503523915
130,-80.53774,43.47107,,,,,,,4696.654194323604,11.491729530397103
131,-80.53764,43.4713,,,,,,,4723.471973234399,26.817778910795237
132,-80.53748,43.47143,,,,,,,4742.853973791091,19.382000556692528
133,-80.53741,43.47149,,,,,,,4751.595817326036,8.741843534944964
134,-80.53733,43.47155,,,,,,,4760.879542654073,9.283725328036818
135,-80.53715,43.47167,,,,,,,4780.603392376451,19.723849722377654
136,-80.53701,43.47174,,,,,,,4794.322611945383,13.719219568932191
137,-80.53694,43.47178,,,,,,,4801.512244642542,7.189632697158927
138,-80.5369395,43.4717778,waypoint,,,,,,4801.760178886321,0.24793424377920087
