,polyline_point_index,coordinates,latitude,longitude,elevation_meters,elevation_gains_to_next_meters,elapsed_dist_meters,dist_to_next_coordinate_meters,true_bearing_to_next_coordinate,travel_direction
147,,"(43.47278277752214, -80.53431315365303)",43.47278277752214,-80.53431315365303,306,0.0,3643.640326140545,24.112562364921974,-118.87112295591076,S61°W
148,,"(43.47267798576353, -80.53457411947342)",43.47267798576353,-80.53457411947342,306,0.0,3667.7528885054667,24.112562366550243,-118.87130250211834,S61°W
149,,"(43.47257319340743, -80.53483508439201)",43.47257319340743,-80.53483508439201,306,0.0,3691.865450872017,24.11256236570361,-118.87148204979209,S61°W
150,,"(43.47246840045383, -80.53509604840879)",43.47246840045383,-80.53509604840879,306,-1.0,3715.9780132377205,24.112562366622367,-118.87166159312218,S61°W
151,,"(43.472363606902725, -80.53535701152377)",43.472363606902725,-80.53535701152377,305,-1.0,3740.090575604343,24.112562366480695,-118.87184113962734,S61°W
152,,"(43.472258812754134, -80.53561797373693)",43.472258812754134,-80.53561797373693,304,-1.0,3764.2031379708237,24.11256236633825,-118.87202068053193,S61°W
153,,"(43.47215401800807, -80.5358789350483)",43.47215401800807,-80.5358789350483,303,0.0,3788.315700337162,24.112562365486898,-118.87220022141466,S61°W
154,,"(43.47204922266452, -80.53613989545786)",43.47204922266452,-80.53613989545786,303,0.0,3812.428262702649,24.112562366403907,-118.87237976516467,S61°W
155,,"(43.4719444267235, -80.53640085496562)",43.4719444267235,-80.53640085496562,303,0.0,3836.540825069053,24.112562366259066,-118.8725593043046,S61°W
156,,"(43.47183963018501, -80.53666181357157)",43.47183963018501,-80.53666181357157,303,0.0,3860.653387435312,24.112562366114084,-118.87273884205078,S61°W
157,,"(43.471734833049055, -80.53692277127573)",43.471734833049055,-80.53692277127573,303,-1.0,3884.7659498014264,24.112562366673792,-118.87291838418768,S61°W
158,,"(43.47163003531563, -80.53718372807808)",43.47163003531563,-80.53718372807808,302,0.0,3908.8785121681003,24.112562364759697,-118.87309791597761,S61°W
159,3.0,"(43.471525236984746, -80.53744468397863)",43.471525236984746,-80.53744468397863,302,0.0,3932.99107453286,24.432127119856037,-156.97149092678762,S23°W
160,,"(43.47132285394585, -80.53756280284698)",43.47132285394585,-80.53756280284698,302,0.0,3957.4232016527158,24.432127119593193,-156.97157219224573,S23°W
161,,"(43.471120470777755, -80.53768092092704)",43.471120470777755,-80.53768092092704,302,-1.0,3981.855328772309,24.432127120037215,-156.97165345700384,S23°W
162,,"(43.47091808748045, -80.53779903821885)",43.47091808748045,-80.53779903821885,301,-1.0,4006.2874558923463,24.4321271197747,-156.97173471944086,S23°W
163,,"(43.470715704053944, -80.53791715472241)",43.470715704053944,-80.53791715472241,300,-1.0,4030.719583012121,24.432127118452485,-156.97181598052939,S23°W
164,,"(43.470513320498256, -80.53803527043773)",43.470513320498256,-80.53803527043773,299,0.0,4055.1517101305735,24.432127119599986,-156.97189724307535,S23°W
165,,"(43.470310936813355, -80.53815338536482)",43.470310936813355,-80.53815338536482,299,-1.0,4079.5838372501735,24.43212711969193,-156.97197850427278,S23°W
166,,"(43.470108552999264, -80.5382714995037)",43.470108552999264,-80.5382714995037,298,0.0,4104.015964369865,24.432127119782002,-156.97205976282478,S23°W
167,,"(43.46990616905598, -80.53838961285436)",43.46990616905598,-80.53838961285436,298,0.0,4128.448091489648,24.432127120224308,-156.97214102380687,S23°W
168,,"(43.4697037849835, -80.53850772541682)",43.4697037849835,-80.53850772541682,298,0.0,4152.880218609872,24.432127119608047,-156.97222227998594,S23°W
169,,"(43.46950140078184, -80.5386258371911)",43.46950140078184,-80.5386258371911,298,0.0,4177.31234572948,24.432127118282544,-156.97230353913147,S23°W
170,,"(43.46929901645099, -80.5387439481772)",43.46929901645099,-80.5387439481772,298,0.0,4201.744472847762,24.432127119433595,-156.97238479444664,S23°W
171,,"(43.46909663199095, -80.53886205837513)",43.46909663199095,-80.53886205837513,298,-1.0,4226.176599967196,24.432127119522104,-156.9724660531644,S23°W
172,,"(43.46889424740172, -80.5389801677849)",43.46889424740172,-80.5389801677849,297,-1.0,4250.608727086718,24.43212711784544,-156.97254730286426,S23°W
173,,"(43.468691862683315, -80.53909827640653)",43.468691862683315,-80.53909827640653,296,-1.0,4275.040854204563,24.432127118641535,-156.97262855758777,S23°W
174,,"(43.46848947783573, -80.53921638424004)",43.46848947783573,-80.53921638424004,295,-1.0,4299.472981323205,24.432127118730982,-156.9727098121475,S23°W
175,,"(43.468287092858965, -80.5393344912854)",43.468287092858965,-80.5393344912854,294,-1.0,4323.905108441936,24.432127119880892,-156.97279106665533,S23°W
176,,"(43.468084707753015, -80.53945259754265)",43.468084707753015,-80.53945259754265,293,0.0,4348.337235561817,24.4321271192634,-156.97287231409044,S23°W
177,,"(43.46788232251789, -80.5395707030118)",43.46788232251789,-80.5395707030118,293,0.0,4372.76936268108,24.432127120060898,-156.97295356805833,S23°W
178,,"(43.467679937153584, -80.53968880769285)",43.467679937153584,-80.53968880769285,293,-1.0,4397.20148980114,24.432127119087546,-156.97303481495342,S23°W
179,,"(43.46747755166012, -80.53980691158583)",43.46747755166012,-80.53980691158583,292,0.0,4421.633616920228,24.432127119176194,-156.9731160649268,S23°W
