,lon,lat,type,step,next_turn,dir,gpx_dist_to_next_waypoint_m,gpx_elapsed_dist_m,geopy_elapsed_dist_m,geopy_dist_from_last_m,weather_id
71,-91.97047,38.85005,,,,,,,2275.8200843791674,24.792378465505347,
72,-91.97047,38.85028,,,,,,,2301.394953636483,25.57486925731581,
73,-91.97046,38.85059,,,,,,,2335.876305404341,34.48135176785796,
74,-91.97045,38.85071,,,,,,,2349.247786039503,13.371480635162008,
75,-91.97048,38.85091,,,,,,,2371.6380285513956,22.390242511892584,
76,-91.97047,38.85123,,,,,,,2407.230991202665,35.592962651269325,
77,-91.97047,38.85139,,,,,,,2425.0222045981727,17.79121339550786,
78,-91.97046,38.85175,,,,,,,2465.0618001070784,40.039595508905876,
79,-91.97045,38.85255,,,,,,,2554.0220818248404,88.96028171776206,
80,-91.97044,38.85291,,,,,,,2594.0616770269035,40.039595202063175,
81,-91.97044,38.85301,,,,,,,2605.1811853997942,11.119508372890929,
